Sl_no,Variable_name,Description
177,IsHeadChanged,If Head of Household Changed
178,ever_born,ever_born
179,wt,Weight
180,FIDx,FIDx
181,AS,Asset Score
182,AS_Binned,Asset Score Binned
183,FIDH,FIDH
184,CDOI,CDOI
185,EDT,EDT
186,occupation,occupation
187,catage1,catage1
188,marital,marital
189,modern,modern
190,Traditional,Traditional
191,anym,anym
192,IsNewRecord,IsNewRecord
193,RecordUpdatedCount,RecordUpdatedCount
194,RecordStatus,RecordStatus
195,Schedule_Id,Schedule_Id
196,Year,Round of AHS Survey
197,id,id
